Splits,HR,Pace
1,152,3:30
2,161,3:19
3,193,3:25
4,187,3:23
5,174,3:24
6,194,3:23
7,195,3:28
8,200,3:26
9,191,3:15
10,184,3:15
11,177,3:22
12,190,3:25
13,189,3:19
14,176,3:24
15,193,3:23
16,176,3:23
17,183,3:15
18,198,3:17
19,192,3:16
20,199,3:19
21,200,3:16
22,196,3:17
23,185,3:22
24,195,3:23
25,177,3:25
26,182,3:25
27,169,3:19
28,182,3:27
29,175,3:12
30,172,3:23
31,178,3:29
32,181,3:22
33,196,3:27
34,195,3:25
35,178,3:20
36,178,3:23
37,184,3:20
38,180,3:16
39,188,3:26
40,183,3:23
41,194,3:19
42,193,3:24
